46,AutoShow,Slupsk,Ogrodowa 136,+48 434115443,autoshow_slupsk@skoda.pl
47,CarMax,Jastrzebie Zdroj,Koscielna 872,+48 665480537,carmax_jastrzebiezdroj@skoda.pl
48,AutoShow,Nowy Sacz,Kwiatowa 433,+48 554716827,autoshow_nowysacz@skoda.pl
49,AutoShow,Jelenia Gora,Ogrodowa 252,+48 137788582,autoshow_jeleniagora@skoda.pl
50,Auto Trader Company,Siedlce,Sosnowa 565,+48 315731916,autotradercompany_siedlce@skoda.pl
51,CarMax,Myslowice,Krotka 254,+48 122066219,carmax_myslowice@skoda.pl
52,Automotive Group,Konin,Zielona 539,+48 631015691,automotivegroup_konin@skoda.pl
53,National Motors,Pila,Lakowa 852,+48 174727664,nationalmotors_pila@skoda.pl
54,Miroslaw Motors,Piotrkow Trybunalski,Sosnowa 54,+48 657385051,miroslawmotors_piotrkowtrybunalski@skoda.pl
55,CarMax,Inowroclaw,Lesna 889,+48 884412901,carmax_inowroclaw@skoda.pl
56,Road Motors,Lubin,Koscielna 937,+48 232980743,roadmotors_lubin@skoda.pl
57,Zawada,Ostrow Wielkopolski,Parkowa 246,+48 162521140,zawada_ostrowwielkopolski@skoda.pl
58,PayDay Motors,Suwalki,Ogrodowa 324,+48 888350727,paydaymotors_suwalki@skoda.pl
59,Wonder Cars,Ostrowiec Swietokrzyski,Szkolna 496,+48 902733556,wondercars_ostrowiecswietokrzyski@skoda.pl
60,AutoHouse,Gniezno,Lipowa 180,+48 535019750,autohouse_gniezno@skoda.pl
61,Universal Auto Group,Stargard,Szkolna 115,+48 360662809,universalautogroup_stargard@skoda.pl
62,CarMax,Glogow,Polna 252,+48 848188771,carmax_glogow@skoda.pl
63,Best Motors,Siemianowice Slaskie,Parkowa 428,+48 508370867,bestmotors_siemianowiceslaskie@skoda.pl
64,AutoShow,Pabianice,Kolejowa 655,+48 804201082,autoshow_pabianice@skoda.pl
65,Car Dealers,Leszno,Krotka 95,+48 531651784,cardealers_leszno@skoda.pl
66,Zawada,Zamosc,Kolejowa 481,+48 196135440,zawada_zamosc@skoda.pl
67,AutoShow,Lomza,Akacjowa 577,+48 601007933,autoshow_lomza@skoda.pl
68,Miroslaw Motors,Zory,Ogrodowa 299,+48 295497875,miroslawmotors_zory@skoda.pl
69,Zawada,Pruszkow,Lipowa 463,+48 299081265,zawada_pruszkow@skoda.pl
70,Go Motors,Elk,Koscielna 509,+48 673023601,gomotors_elk@skoda.pl
71,Universal Auto Group,Tarnowskie Gory,Polna 349,+48 428311733,universalautogroup_tarnowskiegory@skoda.pl
72,Toyopet,Tomaszow Mazowiecki,Szkolna 261,+48 482332598,toyopet_tomaszowmazowiecki@skoda.pl
73,AutoHouse,Chelm,Koscielna 595,+48 321422592,autohouse_chelm@skoda.pl
74,Auto Martin,Przemysl,Lipowa 853,+48 199914368,automartin_przemysl@skoda.pl
75,Auto Centrum,Kedzierzyn-Kozle,Parkowa 384,+48 656536346,autocentrum_kedzierzyn-kozle@skoda.pl
76,Auto Trader Company,Mielec,Szkolna 309,+48 557685489,autotradercompany_mielec@skoda.pl
77,Auto Smart,Stalowa Wola,Lipowa 764,+48 695317023,autosmart_stalowawola@skoda.pl
78,Best Motors,Tczew,Lesna 589,+48 425605219,bestmotors_tczew@skoda.pl
79,Royal Auto,Biala Podlaska,Szkolna 769,+48 412464146,royalauto_bialapodlaska@skoda.pl
80,National Motors,Belchatow,Szkolna 610,+48 210781029,nationalmotors_belchatow@skoda.pl
81,Select Motors,Swidnica,Lakowa 102,+48 870714929,selectmotors_swidnica@skoda.pl
82,Automotive Group,Bedzin,Szkolna 393,+48 237392346,automotivegroup_bedzin@skoda.pl
83,Best Motors,Zgierz,Sosnowa 464,+48 386931678,bestmotors_zgierz@skoda.pl
84,Toyopet,Piekary Slaskie,Szkolna 908,+48 162558201,toyopet_piekaryslaskie@skoda.pl
85,Automotive Group,Raciborz,Akacjowa 903,+48 919642892,automotivegroup_raciborz@skoda.pl
86,National Motors,Legionowo,Szkolna 263,+48 288195160,nationalmotors_legionowo@skoda.pl
87,Pol Mot,Ostroleka,Koscielna 43,+48 551514863,polmot_ostroleka@skoda.pl
88,Wonder Cars,Swietochlowice,Szkolna 732,+48 655583040,wondercars_swietochlowice@skoda.pl
